Date,Item,Details,Trainer,Source
2026-09-07,Numerical Methods,Chapter 1,Rudy,Timetable / Briefing Slides
2026-09-09,Improper Integral & Infinite Series,Chapters 2 and 3,Benjamin,Timetable / Briefing Slides
2026-09-10,Infinite Series,Chapter 3,Benjamin,Timetable / Briefing Slides
2026-09-14,Partial Differentiation,Chapter 5,Rudy,Timetable / Briefing Slides
2026-09-16,Partial Differentiation,Chapter 5,Rudy,Timetable / Briefing Slides
2026-09-17,Partial Differentiation,Chapter 5,Rudy,Timetable / Briefing Slides
2026-09-21,Revision / Written Test 1,7:00–9:00 pm; Chapters 2–5; 30%,Ajay,Timetable / Briefing Slides
2026-09-23,Multiple Integrals,Chapter 6,Ling Chen,Timetable / Briefing Slides
2026-09-24,Multiple Integrals,Chapter 6,Ling Chen,Timetable / Briefing Slides
2026-09-25,Assignment Due,2359H; Assignment = 30%,,Timetable / Briefing Slides
2026-09-28,Multiple Integrals,Chapter 6,Ling Chen,Timetable / Briefing Slides
2026-09-30,Ordinary Differential Equations,Chapter 7,Bryan,Timetable / Briefing Slides
2026-10-01,Ordinary Differential Equations,Chapter 7,Bryan,Timetable / Briefing Slides
2026-10-05,Ordinary Differential Equations,Chapter 7,Bryan,Timetable / Briefing Slides
2026-10-07,Revision / Written Test 2,7:00–9:00 pm; Chapters 6–7; 30%,Ajay,Timetable / Briefing Slides
